CPU,Display,Graphics,Name,Price,Ram,Storage,URL
i5 - 8250U,"14"" Full HD",Intel UHD 620,Laptop Cũ HP Probook 440 G5 - Intel Core i5 8250U | 14 inch Full HD,7.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-probook-440-g5-intel-core-i5-8250u-14-inch-full-hd.html
i5 - 8250U,13.3'' Full HD,Intel HD 620,Laptop Cũ Dell Latitude 7390 - Intel Core i5,7.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7390-intel-core-i5.html
i7-8565U,"14"" Full HD",Card rời MX130,Laptop Cũ Dell Latitude 3400 - Intel Core i7,9.490.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-3400-intel-core-i7.html
i7 - 8750H,"15.6"" Full HD",Nvidia P600,Laptop Cũ Dell Precision 3530 - Intel Core i7,12.990.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-3530-intel-core-i7/p6069.html
i5 - 7200U,"14"" HD | Full HD",Intel HD Graphics,Laptop cũ Dell Latitude 7480 - Intel Core i5,6.890.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-e7480-intel-core-i5.html
"
i5-1135G7
","14"" Full HD","
Intel Iris Xe Graphics
",Laptop Cũ Dell Latitude 5420 - Intel Core i5-1135G7 | 14 inch Full HD,12.490.000 đ,8GB DDR4,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-latitude-5420-intel-core-i5-1145g7-14-inch-full-hd.html
i7 - 4800MQ,15.6'' Full HD,AMD HD 8790M,Laptop cũ Dell Latitude E6540  - Intel Core i7,6.990.000 đ,8GB DDR3L,SSD 256GB,https://laptop88.vn/dell-latitude-e6540.html
i7 - 4800MQ,"15.6"" Full HD | 4K",Quadro K1100M,Laptop Cũ Dell Precision M4800 - Intel Core i7 MQ,7.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-m4800-core-i7-4800mq-ram-8gb-ssd-256gb-vga-2gb-nvidia-quadro-k1100m-156-inch-fullhd-bh-1-nam.html
i5 - 10310U,14 Inch Full HD,UHD Graphics 620,Laptop Cũ Dell Latitude 5410 - Intel Core i5 | 14 inch Full HD,10.690.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5410-intel-core-i5-14-inch-full-hd.html
i7 - 6820HQ,15.6'' Full HD,Quadro M1200,Laptop Cũ Dell Precision 7520 - Intel Core i7,10.190.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-workstation-cu-dell-precision-7520-intel-core-i7.html
